               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.035044,           0.0086157,           0.0053872,             0.99203,                   1,               0.995,             0.64389,            0.017404,           0.0045329,           0.0029178,            0.007327,            0.007327,            0.007327
                 137,            0.029294,           0.0076263,           0.0048233,             0.99467,                   1,               0.995,             0.82766,             0.01206,           0.0042971,           0.0029298,           0.0073072,           0.0073072,           0.0073072
                 138,            0.029852,           0.0099267,            0.005994,             0.99365,                   1,               0.995,             0.78449,            0.016433,           0.0043125,           0.0028876,           0.0072874,           0.0072874,           0.0072874
                 139,            0.031478,           0.0088371,           0.0069722,             0.97801,               0.948,               0.995,             0.61883,             0.01796,           0.0044359,           0.0028465,           0.0072676,           0.0072676,           0.0072676
                 140,              0.0326,           0.0096108,           0.0075583,             0.97801,               0.948,               0.995,             0.61883,             0.01796,           0.0044359,           0.0028465,           0.0072478,           0.0072478,           0.0072478
                 141,            0.028516,           0.0088887,           0.0054036,             0.99404,                   1,               0.995,             0.79609,            0.014842,           0.0042228,           0.0028554,            0.007228,            0.007228,            0.007228
                 142,            0.032881,            0.008976,           0.0051584,             0.80184,             0.95452,             0.99381,             0.65298,            0.021385,           0.0044521,           0.0029284,           0.0072082,           0.0072082,           0.0072082
                 143,            0.034931,           0.0092034,           0.0067325,             0.99269,                   1,               0.995,             0.80777,            0.013611,           0.0042335,           0.0030119,           0.0071884,           0.0071884,           0.0071884
                 144,            0.032102,           0.0085626,           0.0069503,             0.99269,                   1,               0.995,             0.80777,            0.013611,           0.0042335,           0.0030119,           0.0071686,           0.0071686,           0.0071686
                 145,            0.031328,           0.0093885,           0.0055301,              0.8958,                   1,             0.96804,             0.76469,            0.015989,           0.0043565,           0.0030885,           0.0071488,           0.0071488,           0.0071488
                 146,            0.034979,           0.0078841,           0.0055916,             0.98893,                   1,               0.995,             0.53129,            0.025052,           0.0046757,           0.0031371,            0.007129,            0.007129,            0.007129
                 147,            0.041537,           0.0087093,           0.0065294,             0.99234,                   1,               0.995,             0.75302,            0.013674,             0.00425,           0.0032356,           0.0071092,           0.0071092,           0.0071092
                 148,            0.026237,           0.0090299,           0.0043671,             0.99234,                   1,               0.995,             0.75302,            0.013674,             0.00425,           0.0032356,           0.0070894,           0.0070894,           0.0070894
                 149,            0.025614,            0.010343,           0.0052489,             0.98991,                   1,               0.995,             0.84313,            0.011993,           0.0040823,            0.003296,           0.0070696,           0.0070696,           0.0070696
                 150,            0.030806,           0.0098628,           0.0096011,             0.98782,                   1,               0.995,             0.73864,            0.015837,           0.0043068,           0.0032478,           0.0070498,           0.0070498,           0.0070498
                 151,             0.03333,           0.0091694,            0.005837,             0.95147,                   1,               0.995,             0.71978,            0.017393,           0.0044947,           0.0033361,             0.00703,             0.00703,             0.00703
                 152,            0.036198,            0.011615,           0.0064704,             0.95147,                   1,               0.995,             0.71978,            0.017393,           0.0044947,           0.0033361,           0.0070102,           0.0070102,           0.0070102
                 153,            0.030937,            0.008529,           0.0066408,             0.96568,             0.99906,               0.995,             0.80343,            0.014733,           0.0043335,           0.0034784,           0.0069904,           0.0069904,           0.0069904
